beta,B_index,R_P,equilibrium_class,bifurcation_type,multistable
0.005,0.5,0.48428624141849974,parasitoid_free,stable,False
0.005,0.5625,0.46067134670330856,parasitoid_free,stable,False
0.005,0.625,0.4382548436392183,parasitoid_free,stable,False
0.005,0.6875,0.41696018039557137,parasitoid_free,stable,False
0.005,0.75,0.39671588311186695,parasitoid_free,stable,False
0.005,0.8125,0.37745520385650383,parasitoid_free,stable,False
0.005,0.875,0.3591158233240149,parasitoid_free,stable,False
0.005,0.9375,0.34163954688171977,parasitoid_free,stable,False
0.005,1.0,0.32497204411974956,parasitoid_free,stable,False
0.005,1.0625,0.3090625919337079,parasitoid_free,stable,False
0.005,1.125,0.2938638426588109,parasitoid_free,stable,False
0.005,1.1875,0.2793316096062249,parasitoid_free,stable,False
0.005,1.25,0.265424662844282,parasitoid_free,stable,False
0.005,1.3125,0.2521045488757313,parasitoid_free,stable,False
0.005,1.375,0.23933541468934208,parasitoid_free,stable,False
0.005,1.4375,0.22708385382844906,parasitoid_free,stable,False
0.005,1.5,0.21531876003061853,parasitoid_free,stable,False
0.005,1.5625,0.20401119380327346,parasitoid_free,stable,False
0.005,1.625,0.193134262886653,parasitoid_free,stable,False
0.005,1.6875,0.18266300927423162,parasitoid_free,stable,False
0.005,1.75,0.17257431084386265,parasitoid_free,stable,False
0.005,1.8125,0.16284679061324656,parasitoid_free,stable,False
0.005,1.875,0.1534607355067579,parasitoid_free,stable,False
0.005,1.9375,0.14439802604619686,parasitoid_free,stable,False
0.005,2.0,0.13564207327552977,parasitoid_free,stable,False
0.006458333333333333,0.5,0.7399883865223349,parasitoid_free,stable,False
0.006458333333333333,0.5625,0.696239930156977,parasitoid_free,stable,False
0.006458333333333333,0.625,0.6551154586014497,parasitoid_free,stable,False
0.006458333333333333,0.6875,0.6164307524952634,parasitoid_free,stable,False
0.006458333333333333,0.75,0.5800153748323237,parasitoid_free,stable,False
0.006458333333333333,0.8125,0.5457116488865648,parasitoid_free,stable,False
0.006458333333333333,0.875,0.513373674101298,parasitoid_free,stable,False
0.006458333333333333,0.9375,0.48286647497874385,parasitoid_free,stable,False
0.006458333333333333,1.0,0.4540651636773004,parasitoid_free,stable,False
0.006458333333333333,1.0625,0.42685421063544526,parasitoid_free,stable,False
0.006458333333333333,1.125,0.4011267453337077,parasitoid_free,stable,False
0.006458333333333333,1.1875,0.3767839237058502,parasitoid_free,stable,False
0.006458333333333333,1.25,0.35373434968632894,parasitoid_free,stable,False
0.006458333333333333,1.3125,0.3318935312907329,parasitoid_free,stable,False
0.006458333333333333,1.375,0.3111833968465102,parasitoid_free,stable,False
0.006458333333333333,1.4375,0.2915318355323321,parasitoid_free,stable,False
0.006458333333333333,1.5,0.27287228931209856,parasitoid_free,stable,False
0.006458333333333333,1.5625,0.2551433680872468,parasitoid_free,stable,False
0.006458333333333333,1.625,0.23828850685650718,parasitoid_free,stable,False
0.006458333333333333,1.6875,0.22225564439372936,parasitoid_free,stable,False
0.006458333333333333,1.75,0.2069969370608718,parasitoid_free,stable,False
0.006458333333333333,1.8125,0.1924684918411395,parasitoid_free,stable,False
0.006458333333333333,1.875,0.17863012928086852,parasitoid_free,stable,False
0.006458333333333333,1.9375,0.16544516341823703,parasitoid_free,stable,False
0.006458333333333333,2.0,0.15288020679508527,parasitoid_free,stable,False
0.007916666666666667,0.5,1.1052617002438476,coexistence,stable,False
0.007916666666666667,0.5625,1.0295835462087548,coexistence_nonfixed,fold,False
0.007916666666666667,0.625,0.9590845135362744,coexistence,fold,False
0.007916666666666667,0.6875,0.8933680967080955,parasitoid_free,stable,False
0.007916666666666667,0.75,0.8320702942500438,parasitoid_free,stable,False
0.007916666666666667,0.8125,0.7748569154814039,parasitoid_free,stable,False
0.007916666666666667,0.875,0.7214211106672349,parasitoid_free,stable,False
0.007916666666666667,0.9375,0.6714811018912527,parasitoid_free,stable,False
0.007916666666666667,1.0,0.6247781252991782,parasitoid_free,stable,False
0.007916666666666667,1.0625,0.5810745409883911,parasitoid_free,stable,False
0.007916666666666667,1.125,0.5401521109271146,parasitoid_free,stable,False
0.007916666666666667,1.1875,0.5018104044112218,parasitoid_free,stable,False
0.007916666666666667,1.25,0.4658653753250059,parasitoid_free,stable,False
0.007916666666666667,1.3125,0.4321480264543684,parasitoid_free,stable,False
0.007916666666666667,1.375,0.40050321692378066,parasitoid_free,stable,False
0.007916666666666667,1.4375,0.37078855829528123,parasitoid_free,stable,False
0.007916666666666667,1.5,0.342873407848773,parasitoid_free,stable,False
0.007916666666666667,1.5625,0.3166379548591912,parasitoid_free,stable,False
0.007916666666666667,1.625,0.2919723823057763,parasitoid_free,stable,False
0.007916666666666667,1.6875,0.2687760990541118,parasitoid_free,stable,False
0.007916666666666667,1.75,0.24695704530428564,parasitoid_free,stable,False
0.007916666666666667,1.8125,0.2264310515118986,parasitoid_free,stable,False
0.007916666666666667,1.875,0.2071212564798645,parasitoid_free,stable,False
0.007916666666666667,1.9375,0.18895757453444778,parasitoid_free,stable,False
0.007916666666666667,2.0,0.17187620624574723,parasitoid_free,stable,False
0.009375000000000001,0.5,1.6191239261267871,coexistence,stable,False
0.009375000000000001,0.5625,1.4944267965780187,coexistence,stable,False
0.009375000000000001,0.625,1.3792387175883734,coexistence,stable,False
0.009375000000000001,0.6875,1.27277261550958,coexistence,stable,False
0.009375000000000001,0.75,1.1743109479078795,coexistence,stable,False
0.009375000000000001,0.8125,1.0831994411019743,coexistence,fold,False
0.009375000000000001,0.875,0.9988414060891971,coexistence,fold,False
0.009375000000000001,0.9375,0.9206925789640484,coexistence,fold,False
0.009375000000000001,1.0,0.8482564221822831,parasitoid_free,stable,False
0.009375000000000001,1.0625,0.7810798777633831,parasitoid_free,stable,False
0.009375000000000001,1.125,0.7187494869850437,parasitoid_free,stable,False
0.009375000000000001,1.1875,0.660887891328721,parasitoid_free,stable,False
0.009375000000000001,1.25,0.6071506423340199,parasitoid_free,stable,False
0.009375000000000001,1.3125,0.5572233110652571,parasitoid_free,stable,False
0.009375000000000001,1.375,0.5108188614460308,parasitoid_free,stable,False
0.009375000000000001,1.4375,0.4676752520457555,parasitoid_free,stable,False
0.009375000000000001,1.5,0.42755328089805156,parasitoid_free,stable,False
0.009375000000000001,1.5625,0.39023460578986924,parasitoid_free,stable,False
0.009375000000000001,1.625,0.35551995169385736,parasitoid_free,stable,False
0.009375000000000001,1.6875,0.323227483543279,parasitoid_free,stable,False
0.009375000000000001,1.75,0.29319131911563945,parasitoid_free,stable,False
0.009375000000000001,1.8125,0.265260176221809,parasitoid_free,stable,False
0.009375000000000001,1.875,0.23929613618742632,parasitoid_free,stable,False
0.009375000000000001,1.9375,0.21517351814057314,parasitoid_free,stable,False
0.009375000000000001,2.0,0.19277784459709743,parasitoid_free,stable,False
0.010833333333333334,0.5,2.332377107599011,coexistence,stable,False
0.010833333333333334,0.5625,2.1343598954573637,coexistence,stable,False
0.010833333333333334,0.625,1.9528860104377417,coexistence,stable,False
0.010833333333333334,0.6875,1.786486709776756,coexistence,stable,False
0.010833333333333334,0.75,1.6338315909816896,coexistence,stable,False
0.010833333333333334,0.8125,1.4937152481200746,coexistence,stable,False
0.010833333333333334,0.875,1.3650452448781154,coexistence,stable,False
0.010833333333333334,0.9375,1.2468312686052043,coexistence,stable,False
0.010833333333333334,1.0,1.1381753465040583,coexistence,stable,False
0.010833333333333334,1.0625,1.0382630330249312,coexistence,fold,False
0.010833333333333334,1.125,0.9463554415756427,coexistence,fold,False
0.010833333333333334,1.1875,0.8617820617042511,parasitoid_free,stable,False
0.010833333333333334,1.25,0.7839342839730965,parasitoid_free,stable,False
0.010833333333333334,1.3125,0.7122595482627958,parasitoid_free,stable,False
0.010833333333333334,1.375,0.6462560689690866,parasitoid_free,stable,False
0.010833333333333334,1.4375,0.5854680697227821,parasitoid_free,stable,False
0.010833333333333334,1.5,0.529481473398908,parasitoid_free,stable,False
0.010833333333333334,1.5625,0.4779200155068417,parasitoid_free,stable,False
0.010833333333333334,1.625,0.4304417110623627,parasitoid_free,stable,False
0.010833333333333334,1.6875,0.38673567913398077,parasitoid_free,stable,False
0.010833333333333334,1.75,0.34651924859870203,parasitoid_free,stable,False
0.010833333333333334,1.8125,0.30953534104576474,parasitoid_free,stable,False
0.010833333333333334,1.875,0.2755500907436516,parasitoid_free,stable,False
0.010833333333333334,1.9375,0.2443506803264607,parasitoid_free,stable,False
0.010833333333333334,2.0,0.21574336792276133,parasitoid_free,stable,False
0.012291666666666666,0.5,3.310679308978434,coexistence,stable,False
0.012291666666666666,0.5625,3.0053292516444032,coexistence,stable,False
0.012291666666666666,0.625,2.7275763080359714,coexistence,stable,False
0.012291666666666666,0.6875,2.474810540474708,coexistence,stable,False
0.012291666666666666,0.75,2.244682115831462,coexistence,stable,False
0.012291666666666666,0.8125,2.0350747152065995,coexistence,stable,False
0.012291666666666666,0.875,1.8440817327841437,coexistence,stable,False
0.012291666666666666,0.9375,1.6699849047639292,coexistence,stable,False
0.012291666666666666,1.0,1.5112351832600623,coexistence,stable,False
0.012291666666666666,1.0625,1.3664355889076132,coexistence,stable,False
0.012291666666666666,1.125,1.2343258391774188,coexistence,stable,False
0.012291666666666666,1.1875,1.1137685677629594,coexistence,stable,False
0.012291666666666666,1.25,1.0037369703995036,coexistence,fold,False
0.012291666666666666,1.3125,0.9033036913708459,parasitoid_free,fold,False
0.012291666666666666,1.375,0.8116308836540744,parasitoid_free,stable,False
0.012291666666666666,1.4375,0.7279612790770282,parasitoid_free,stable,False
0.012291666666666666,1.5,0.6516101568295672,parasitoid_free,stable,False
0.012291666666666666,1.5625,0.5819581346688246,parasitoid_free,stable,False
0.012291666666666666,1.625,0.5184446806613526,parasitoid_free,stable,False
0.012291666666666666,1.6875,0.4605622713364627,parasitoid_free,stable,False
0.012291666666666666,1.75,0.4078511383567914,parasitoid_free,stable,False
0.012291666666666666,1.8125,0.35989452037818814,parasitoid_free,stable,False
0.012291666666666666,1.875,0.3163143808488021,parasitoid_free,stable,False
0.012291666666666666,1.9375,0.27676753417204736,parasitoid_free,stable,False
0.012291666666666666,2.0,0.24094213500395023,parasitoid_free,stable,False
0.013750000000000002,0.5,4.638317914464686,coexistence,stable,False
0.013750000000000002,0.5625,4.178679029254973,coexistence,stable,False
0.013750000000000002,0.625,3.763542644779538,coexistence,stable,False
0.013750000000000002,0.6875,3.3884519871027585,coexistence,stable,False
0.013750000000000002,0.75,3.049417574919591,coexistence,stable,False
0.013750000000000002,0.8125,2.7428669318877588,coexistence,stable,False
0.013750000000000002,0.875,2.4655998220703688,coexistence,stable,False
0.013750000000000002,0.9375,2.2147483413152433,coexistence,stable,False
0.013750000000000002,1.0,1.987741381390866,coexistence,stable,False
0.013750000000000002,1.0625,1.782272967741923,coexistence,stable,False
0.013750000000000002,1.125,1.5962740419793846,coexistence,stable,False
0.013750000000000002,1.1875,1.4278873097608977,coexistence,stable,False
0.013750000000000002,1.25,1.275444812583859,coexistence,stable,False
0.013750000000000002,1.3125,1.1374479605510606,coexistence,stable,False
0.013750000000000002,1.375,1.0125495919032257,coexistence,fold,False
0.013750000000000002,1.4375,0.8995381469135021,parasitoid_free,stable,False
0.013750000000000002,1.5,0.7973233663143745,parasitoid_free,stable,False
0.013750000000000002,1.5625,0.7049236137380626,parasitoid_free,stable,False
0.013750000000000002,1.625,0.6214544912466714,parasitoid_free,stable,False
0.013750000000000002,1.6875,0.546118674011834,parasitoid_free,stable,False
0.013750000000000002,1.75,0.4781967947409568,parasitoid_free,stable,False
0.013750000000000002,1.8125,0.4170392816030201,parasitoid_free,stable,False
0.013750000000000002,1.875,0.3620590235450064,parasitoid_free,stable,False
0.013750000000000002,1.9375,0.3127247863994671,parasitoid_free,stable,False
0.013750000000000002,2.0,0.2685552870426513,parasitoid_free,stable,False
0.015208333333333334,0.5,6.422826415136173,coexistence,stable,False
0.015208333333333334,0.5625,5.744851438135564,coexistence,stable,False
0.015208333333333334,0.625,5.136654120945264,coexistence,stable,False
0.015208333333333334,0.6875,4.590872089138843,coexistence,stable,False
0.015208333333333334,0.75,4.100951441311222,coexistence,stable,False
0.015208333333333334,0.8125,3.66105565490561,coexistence,stable,False
0.015208333333333334,0.875,3.2659849197864292,coexistence,stable,False
0.015208333333333334,0.9375,2.911104696724445,coexistence,stable,False
0.015208333333333334,1.0,2.59228243609442,coexistence,stable,False
0.015208333333333334,1.0625,2.305831514128266,coexistence,stable,False
0.015208333333333334,1.125,2.048461552079,coexistence,stable,False
0.015208333333333334,1.1875,1.8172343715494217,coexistence,stable,False
0.015208333333333334,1.25,1.609524976001654,coexistence,stable,False
0.015208333333333334,1.3125,1.4229868716486094,coexistence,stable,False
0.015208333333333334,1.375,1.2555213766962294,coexistence,stable,False
0.015208333333333334,1.4375,1.1052503210592028,coexistence,stable,False
0.015208333333333334,1.5,0.970491832713229,coexistence,fold,False
0.015208333333333334,1.5625,0.8497387777084415,parasitoid_free,stable,False
0.015208333333333334,1.625,0.7416396529411412,parasitoid_free,stable,False
0.015208333333333334,1.6875,0.6449815386292886,parasitoid_free,stable,False
0.015208333333333334,1.75,0.5586749385503009,parasitoid_free,stable,False
0.015208333333333334,1.8125,0.48174026764892175,parasitoid_free,stable,False
0.015208333333333334,1.875,0.4132957997194956,parasitoid_free,stable,False
0.015208333333333334,1.9375,0.3525469096083329,parasitoid_free,stable,False
0.015208333333333334,2.0,0.29877645722624824,parasitoid_free,stable,False
0.016666666666666666,0.5,8.80061264667473,coexistence,stable,False
0.016666666666666666,0.5625,7.817873066615057,coexistence,stable,False
0.016666666666666666,0.625,6.941976449266718,coexistence,stable,False
0.016666666666666666,0.6875,6.161097401692512,coexistence,stable,False
0.016666666666666666,0.75,5.464765421042668,coexistence,stable,False
0.016666666666666666,0.8125,4.843705736822855,coexistence,stable,False
0.016666666666666666,0.875,4.289699144928548,coexistence,stable,False
0.016666666666666666,0.9375,3.7954585474360116,coexistence,stable,False
0.016666666666666666,1.0,3.3545201861573335,coexistence,stable,False
0.016666666666666666,1.0625,2.961147800945461,coexistence,stable,False
0.016666666666666666,1.125,2.6102481544654963,coexistence,stable,False
0.016666666666666666,1.1875,2.2972965439033963,coexistence,stable,False
0.016666666666666666,1.25,2.018271153657237,coexistence,stable,False
0.016666666666666666,1.3125,1.7695950518325523,coexistence,stable,False
0.016666666666666666,1.375,1.54808506633944,coexistence,stable,False
0.016666666666666666,1.4375,1.3509066347826333,coexistence,stable,False
0.016666666666666666,1.5,1.1755339127026352,coexistence,stable,False
0.016666666666666666,1.5625,1.0197144720723135,coexistence,fold,False
0.016666666666666666,1.625,0.8814381797887674,parasitoid_free,stable,False
0.016666666666666666,1.6875,0.7589095607492294,parasitoid_free,stable,False
0.016666666666666666,1.75,0.6505233995267579,parasitoid_free,stable,False
0.016666666666666666,1.8125,0.5548430923547999,parasitoid_free,stable,False
0.016666666666666666,1.875,0.47058147042280385,parasitoid_free,stable,False
0.016666666666666666,1.9375,0.3965837667228388,parasitoid_free,stable,False
0.016666666666666666,2.0,0.3318125125035671,parasitoid_free,stable,False
0.018125000000000002,0.5,11.943796381426154,coexistence,stable,False
0.018125000000000002,0.5625,10.540776051067292,coexistence,stable,False
0.018125000000000002,0.625,9.298051466922635,coexistence,stable,False
0.018125000000000002,0.6875,8.19708216497244,coexistence,stable,False
0.018125000000000002,0.75,7.2215370627555195,coexistence,stable,False
0.018125000000000002,0.8125,6.357024835499408,coexistence,stable,False
0.018125000000000002,0.875,5.590857709443503,coexistence,stable,False
0.018125000000000002,0.9375,4.9118444922169955,coexistence,stable,False
0.018125000000000002,1.0,4.310109181899383,coexistence,stable,False
0.018125000000000002,1.0625,3.776931954738309,coexistence,stable,False
0.018125000000000002,1.125,3.3046097258411224,coexistence,stable,False
0.018125000000000002,1.1875,2.8863338686284914,coexistence,stable,False
0.018125000000000002,1.25,2.516082897972492,coexistence,stable,False
0.018125000000000002,1.3125,2.188528255762949,coexistence,stable,False
0.018125000000000002,1.375,1.898951621633981,coexistence,stable,False
0.018125000000000002,1.4375,1.6431722844299954,coexistence,stable,False
0.018125000000000002,1.5,1.4174832547986143,coexistence,stable,False
0.018125000000000002,1.5625,1.2185951538111264,coexistence,stable,False
0.018125000000000002,1.625,1.0435868088002571,coexistence,fold,False
0.018125000000000002,1.6875,0.889861791979833,parasitoid_free,stable,False
0.018125000000000002,1.75,0.7551101519264305,parasitoid_free,stable,False
0.018125000000000002,1.8125,0.6372746843999546,parasitoid_free,stable,False
0.018125000000000002,1.875,0.5345212072759136,parasitoid_free,stable,False
0.018125000000000002,1.9375,0.44521233412771927,parasitoid_free,stable,False
0.018125000000000002,2.0,0.36788434040203566,parasitoid_free,stable,False
0.019583333333333335,0.5,16.068489243738345,coexistence,stable,False
0.019583333333333335,0.5625,14.092128897938485,coexistence,stable,False
0.019583333333333335,0.625,12.352025805064756,coexistence,stable,False
0.019583333333333335,0.6875,10.819716563199668,coexistence,stable,False
0.019583333333333335,0.75,9.470255902647832,coexistence,stable,False
0.019583333333333335,0.8125,8.281771965908662,coexistence,stable,False
0.019583333333333335,0.875,7.235078664629688,coexistence,stable,False
0.019583333333333335,0.9375,6.3133377174527245,coexistence,stable,False
0.019583333333333335,1.0,5.501763932070014,coexistence,stable,False
0.019583333333333335,1.0625,4.787368112026981,coexistence,stable,False
0.019583333333333335,1.125,4.15873281168142,coexistence,stable,False
0.019583333333333335,1.1875,3.6058164922343394,coexistence,stable,False
0.019583333333333335,1.25,3.119782611147349,coexistence,stable,False
0.019583333333333335,1.3125,2.692850330001851,coexistence,stable,False
0.019583333333333335,1.375,2.3181640850454532,coexistence,stable,False
0.019583333333333335,1.4375,1.98967954469804,coexistence,stable,False
0.019583333333333335,1.5,1.7020638792769505,coexistence,stable,False
0.019583333333333335,1.5625,1.4506085557035202,coexistence,stable,False
0.019583333333333335,1.625,1.2311529652826592,coexistence,stable,False
0.019583333333333335,1.6875,1.0400175624463328,coexistence,fold,False
0.019583333333333335,1.75,0.8739452524009734,parasitoid_free,stable,False
0.019583333333333335,1.8125,0.7300500943907986,parasitoid_free,stable,False
0.019583333333333335,1.875,0.6057722571670017,parasitoid_free,stable,False
0.019583333333333335,1.9375,0.49883852989608685,parasitoid_free,stable,False
0.019583333333333335,2.0,0.407227669501926,parasitoid_free,stable,False
0.021041666666666667,0.5,21.444790167669534,coexistence,stable,False
0.021041666666666667,0.5625,18.693880807844177,coexistence,stable,False
0.021041666666666667,0.625,16.28577998903423,coexistence,stable,False
0.021041666666666667,0.6875,14.177592572743027,coexistence,stable,False
0.021041666666666667,0.75,12.331909656932618,coexistence,stable,False
0.021041666666666667,0.8125,10.716092012093988,coexistence,stable,False
0.021041666666666667,0.875,9.301648505408991,coexistence,stable,False
0.021041666666666667,0.9375,8.06369679842328,coexistence,stable,False
0.021041666666666667,1.0,6.980495310598323,coexistence,stable,False
0.021041666666666667,1.0625,6.033036918182755,coexistence,stable,False
0.021041666666666667,1.125,5.204696137722005,coexistence,stable,False
0.021041666666666667,1.1875,4.480922653010623,coexistence,stable,False
0.021041666666666667,1.25,3.8489750048745512,coexistence,stable,False
0.021041666666666667,1.3125,3.297689074413523,coexistence,stable,False
0.021041666666666667,1.375,2.817276841875944,coexistence,stable,False
0.021041666666666667,1.4375,2.399151136831839,coexistence,stable,False
0.021041666666666667,1.5,2.035773304936431,coexistence,stable,False
0.021041666666666667,1.5625,1.7205204464641546,coexistence,stable,False
0.021041666666666667,1.625,1.4475698312785816,coexistence,stable,False
0.021041666666666667,1.6875,1.2117981669007902,coexistence,stable,False
0.021041666666666667,1.75,1.0086937325696435,coexistence,fold,False
0.021041666666666667,1.8125,0.8342798117922905,parasitoid_free,stable,False
0.021041666666666667,1.875,0.6850478475757784,parasitoid_free,stable,False
0.021041666666666667,1.9375,0.5578991415628782,parasitoid_free,stable,False
0.021041666666666667,2.0,0.45009393763925654,parasitoid_free,stable,False
0.022500000000000003,0.5,28.408817657875748,coexistence,stable,False
0.022500000000000003,0.5625,24.620757997982654,coexistence,stable,False
0.022500000000000003,0.625,21.32323387504637,coexistence,stable,False
0.022500000000000003,0.6875,18.452656296068984,coexistence,stable,False
0.022500000000000003,0.75,15.953834297390967,coexistence,stable,False
0.022500000000000003,0.8125,13.778844016564115,coexistence,stable,False
0.022500000000000003,0.875,11.886052269811792,coexistence,stable,False
0.022500000000000003,0.9375,10.239273319621915,coexistence,stable,False
0.022500000000000003,1.0,8.807040467407509,coexistence,stable,False
0.022500000000000003,1.0625,7.561976649945693,coexistence,stable,False
