strategy,uB,feasible,J,R1_resistance,R2_resilience,R3_recovery,latitude,rho_star,T_return,D_star,K_star,peak_larvae,canopy_collapse,max_consecutive_K_below,damage_threshold_exceeded,mean_D_longrun,functional_tipping,A_star,F_star,K_star_state,uP_mean_final,uC_mean_final,uP_conv_eval,uC_conv_eval,winner,scenario_key,scenario_name,scenario_value
A,0.0,True,31.529497838576848,-0.7232059299578577,0.8128308660448269,0.997217657889138,0.0,1.1512344766374734,nan,0.0024825562210015603,2.0400850787881644,0.08712263532626019,False,0,False,0.018385500618737255,False,0.005949385093403878,0.17996625441517516,2.0400850787881644,0.025285752306082033,0.0,0.01765465352218822,0.0,C,T,Extended/shortened season length,65.0
B,0.4,True,30.280393648689067,-0.6844017868057819,0.8291559328834157,0.9987889349744559,0.0,1.0930645024646617,nan,0.0013284662745976722,2.0402920077775386,0.04878061202246629,False,0,False,0.017024164695207195,False,0.0033268347309025627,0.10094543876134225,2.0402920077775386,0.019328986712478496,0.0,0.010022005915493805,0.0,C,T,Extended/shortened season length,65.0
C,0.0,True,10.57987376199829,0.5895858925336398,0.06251292064910641,0.9999806951526334,1.0,1.0092501149727375,nan,0.00025316685679014825,2.0404986554525903,0.009825043415686885,False,0,False,0.005207226989014464,False,0.0006691959387702198,0.01794850059003515,2.0404986554525903,0.004967994229825666,0.01623976415883868,0.0017285209425619739,0.00893515746356415,C,T,Extended/shortened season length,65.0
A,0.0,True,32.882991686559315,-0.6951793402538446,0.757633846587694,0.9961716594237027,0.0,1.1980589066310825,nan,0.00363777379673113,2.039881793610866,0.1322070715069328,False,0,False,0.01920594938326856,False,0.00904173647992199,0.24012772511981134,2.039881793610866,0.030212018349304783,0.0,0.02339112586869997,0.0,C,sigma_A,Reduced winter severity (beetle),0.9
B,0.4,True,31.38123903210638,-0.7077046813193324,0.8127299259378848,0.9975675064785081,0.0,1.1361529786464628,nan,0.0023346553503486873,2.040108829790454,0.08875237935472467,False,0,False,0.017713715637375362,False,0.0060610066353972685,0.16145957654435442,2.040108829790454,0.02389257158113371,0.0,0.015897986455298205,0.0,C,sigma_A,Reduced winter severity (beetle),0.9
C,0.0,True,10.705091480509703,0.4242919742689182,0.18082060646795073,0.9999596364766715,1.0,1.0138437910265365,nan,0.00036599000673203204,2.0404825060751026,0.015134885118543438,False,0,False,0.005279760400781409,False,0.0010310386140511556,0.023167194874713956,2.0404825060751026,0.005407834732247256,0.018732707057752578,0.002231128606113823,0.011819918969867699,C,sigma_A,Reduced winter severity (beetle),0.9
A,0.0,True,31.49672081543712,-0.66292902081345,0.778449225286475,0.9976703063109802,0.0,1.1539917885287265,nan,0.0026042289504046574,2.0400629811607778,0.0922862576454357,False,0,False,0.018461669735886505,False,0.006303085485652615,0.20190193993626043,2.0400629811607778,0.025787788629318284,0.0,0.018268538827669697,0.0,C,sigma_F,Reduced winter severity (parasitoid),0.7
B,0.4,True,30.24007279753243,-0.6494003138931395,0.8091780780179847,0.9988326645890531,0.0,1.0981836778231138,nan,0.0014375614486845972,2.0402722882860296,0.05323381051890551,False,0,False,0.017089707312827444,False,0.00363108316134573,0.11656145652011127,2.0402722882860296,0.019832912390561643,0.0,0.010695162125188168,0.0,C,sigma_F,Reduced winter severity (parasitoid),0.7
C,0.0,True,10.553359083470967,0.609812715610654,0.042407056290355793,0.9999802110769398,1.0,1.0098138048026557,nan,0.0002663201217768863,2.040496631177704,0.010455168833466857,False,0,False,0.005217194645402281,False,0.0007121295442053125,0.020144242199025574,2.040496631177704,0.0050455806596704,0.016642131634607548,0.0017912358461092328,0.00932688879089249,C,sigma_F,Reduced winter severity (parasitoid),0.7
A,0.0,True,30.30857865591761,-0.7113883818820566,0.8006955165499343,0.9972362829795142,0.0,1.1559933826852338,nan,0.00255761899335953,2.040074611560791,0.09133220264913341,False,0,False,0.0169648041448316,False,0.006237724864045148,0.18958985842831302,2.040074611560791,0.025600676368514305,0.0,0.0184624533499933,0.0,C,delta,Accelerated parasitoid development,0.25
B,0.4,True,29.152301702314237,-0.7034903700652171,0.8334150615541578,0.9986047599305271,0.0,1.0996565576364477,nan,0.0014149941531379237,2.04027761764328,0.05262290109063459,False,0,False,0.015731960107128996,False,0.0035893396479023155,0.10930893395470687,2.04027761764328,0.019590689645488966,0.0,0.010800590508197256,0.0,C,delta,Accelerated parasitoid development,0.25
C,0.0,True,10.510945546133039,0.55092666742548,0.0955970158332462,0.9999780093374058,1.0,1.0101245296557677,nan,0.0002659743720068951,2.0404967132884053,0.010448083493351754,False,0,False,0.005162634882109072,False,0.0007116467743954003,0.019085078733886478,2.0404967132884053,0.005190579493623675,0.016539000228755887,0.001827265647372115,0.009318279681675399,C,delta,Accelerated parasitoid development,0.25
A,0.0,True,33.65536676464407,-0.7033418826885518,0.7557530584470069,0.9959492290640278,0.0,1.2092593300155416,nan,0.003710097446802597,2.0398736956928714,0.12630785760012853,False,0,False,0.019725426467525713,False,0.008636576995640067,0.2569972645267953,2.0398736956928714,0.03156022576014968,0.0,0.024803186948449223,0.0,C,mu_S,Decreased susceptible larval mortality,0.003
B,0.4,True,32.17400579012728,-0.7203013842763395,0.8138819319862933,0.9973004764775913,0.0,1.146610224581721,nan,0.0024465267096701877,2.0400907535465245,0.08719866965825102,False,0,False,0.018237071626616932,False,0.005954592392827895,0.17777166259904836,2.0400907535465245,0.025186823242061385,0.0,0.017324273983234117,0.0,C,mu_S,Decreased susceptible larval mortality,0.003
C,0.0,True,10.851889741175313,0.37697730478266955,0.21187647826312506,0.9999547283683786,1.0,1.0153334578001065,nan,0.00037772831148431786,2.040481042053611,0.01477121105732658,False,0,False,0.005350008748575768,False,0.0010062517126654907,0.025240397439917527,2.040481042053611,0.005672285300854285,0.01938011988962775,0.002409307636310238,0.012487252485098849,C,mu_S,Decreased susceptible larval mortality,0.003
A,0.0,True,28.759568424336834,-0.6439511568921432,0.8177027669328889,0.9990896286715378,1.0,1.0809408954898727,nan,0.0011556423667090652,2.0403230715007945,0.04331351650873059,False,0,False,0.01676033781765693,False,0.0029534393592309245,0.08846127842200531,2.0403230715007945,0.018501956724284806,0.0,0.008714154577783717,0.0,C,B_index,Variable bird predation pressure,2.0
B,0.4,True,27.682944941044646,0.013371991564328112,0.3829083290361417,0.9999553369323866,1.0,0.9392086137711464,15.944472784578107,0.00022079876429773005,2.0404947293850904,0.008872093570510069,False,0,False,0.015457371588585143,False,0.0006042701174404742,0.018946144723632312,2.0404947293850904,0.013458079018410873,0.0,0.0016808262222059455,0.0,C,B_index,Variable bird predation pressure,2.0
C,0.0,True,10.151622158707266,0.2237513330205898,0.35933973517269413,0.9999866323614008,1.0,0.988170602917047,84.03417044624503,0.0001252531034884633,2.040518497354748,0.004966202381327247,False,0,False,0.00502794779692165,False,0.00033819937490555264,0.009625208778940504,2.040518497354748,0.004184503722404792,0.012838956523161698,0.0009064432339578513,0.004751278628525723,C,B_index,Variable bird predation pressure,2.0
A,0.0,True,31.566900346017565,-0.7184970859837896,0.8062362608440914,0.9969972320696757,0.0,1.155757687604209,nan,0.002637033513971654,2.040043262390636,0.09329301882653117,False,0,False,0.018498783410336214,False,0.006372061520323556,0.19001348021355344,2.040043262390636,0.026073389142367356,0.0,0.01848037334170909,0.0,C,phi,Accumulated phytochemical defence,0.1
B,0.4,True,30.290841283693467,-0.6916792394845401,0.8292419477998139,0.9985870615671505,0.0,1.0982303538472016,nan,0.0014594693047744365,2.0402600599429603,0.05400311952377338,False,0,False,0.0171173130961235,False,0.003683652581344867,0.11010774130602327,2.0402600599429603,0.02004993122312263,0.0,0.010844481007206358,0.0,C,phi,Accumulated phytochemical defence,0.1
C,0.0,True,10.554770089113262,0.5618847124137167,0.08596552821428682,0.9999777736856599,1.0,1.0097945399903323,nan,0.0002666727775609585,2.0404952796303863,0.010468569202907724,False,0,False,0.00521770950799013,False,0.000713042598365311,0.018753946703574508,2.0404952796303863,0.005050136290761141,0.01666522831096107,0.0017933432236712334,0.009337722562350827,C,phi,Accumulated phytochemical defence,0.1
A,0.0,True,104.14695295202063,0.04372572606847236,0.32271843421035973,0.9935886998137529,0.0,1.0970219003076558,nan,0.033955360573788375,2.0342434149107538,1.1941432585155973,False,0,False,0.057989758413602044,False,0.08469306746753874,0.6884800475494538,2.0342434149107538,0.08324246604523218,0.0,0.06474429137487987,0.0,C,beta,Variable parasitoid attack efficiency,0.005
B,1.0,True,63.71295523350882,0.00688670060984653,0.345115026195552,0.9990639669750215,1.0,0.9200776734907109,12.005207648423724,0.004450281125527955,2.039568934371149,0.17891759369978888,False,0,False,0.03195906732033318,False,0.012255506676445958,0.1044827630084032,2.039568934371149,0.03570893728552141,0.0,0.00895442731580339,0.0,C,beta,Variable parasitoid attack efficiency,0.005
C,0.0,True,10.999054429705767,0.4750196421541012,0.031542800037835494,0.9999888789100584,1.0,0.9957858622676624,236.79611618688236,0.00029484994330090724,2.0404921335669557,0.011690565219779686,False,0,False,0.005415938333405169,False,0.000796308538915059,0.005521108503104581,2.0404921335669557,0.001653856861725201,0.019190275224585416,0.0005266961596537484,0.010258480738038088,C,beta,Variable parasitoid attack efficiency,0.005
A,0.0,True,13.165692660386373,1.9836269172790466e-06,0.12913460120269837,0.9999882172790917,1.0,0.7800321558197846,4.0254386024450275,4.6937779043429716e-05,2.040529889628473,0.001492401609103087,False,0,False,0.007302935671106292,False,0.0002487639249872289,0.0061731619360281,2.040529889628473,0.012183146594133097,0.0,0.0004164573965954607,0.0,C,R_B,Variable beetle fecundity,6.0
B,0.2,True,13.108460342176262,4.613732729197295e-09,0.06574543066254446,0.999995152984913,1.0,0.6886703656805745,2.6810187195540225,1.7093892080927612e-05,2.0405369660721715,0.0005687375569154364,False,0,False,0.0071128128701324145,False,9.47939963093311e-05,0.002418220209388059,2.0405369660721715,0.011508866700318844,0.0,0.00013283355979048275,0.0,C,R_B,Variable beetle fecundity,6.0
C,0.0,True,4.513900155722734,1.0681230097064898e-06,0.12090413377518616,0.9999978201965066,1.0,0.7696914176190226,3.8202116586477204,8.617847474234822e-06,2.040539687335456,0.0002756641895496926,False,0,False,0.00214554385386099,False,4.594506607361069e-05,0.0011397689268287767,2.040539687335456,0.0023200453255814925,0.008613624720154051,7.50704854094302e-05,0.000367996792590716,C,R_B,Variable beetle fecundity,6.0
